lo_id,hi_id,lo_wins,hi_wins
100886,103746,0,1
100886,103988,0,1
100886,104080,1,0
100886,104224,0,1
100886,104229,1,0
100886,104550,0,1
100943,101964,0,1
100943,104180,0,1
100997,102756,0,1
101086,101150,0,1
101086,101543,0,1
101086,101609,1,0
101086,101611,0,1
101086,101733,1,0
101086,101750,1,0
101086,101820,1,0
101086,101868,1,0
101086,101889,0,1
101086,101956,1,0
101086,101957,1,0
101086,101969,0,1
101086,102029,1,0
101086,102061,0,1
101086,102087,1,0
101086,102153,0,1
101086,102154,1,1
101086,102234,1,0
101086,102239,0,1
101086,102247,0,1
101086,102252,1,0
101086,102269,2,2
101086,102306,0,1
101086,102375,1,0
101086,102401,1,0
101086,102539,1,1
101086,102558,1,0
101086,102644,0,2
101086,102652,1,0
101086,102665,0,1
101086,102687,1,0
101086,102694,0,1
101086,102715,2,0
101086,102720,1,0
101086,102722,1,0
101086,102730,1,0
101086,102735,1,0
101086,102776,0,1
101086,102800,0,1
101086,102805,0,1
101086,102809,2,0
101086,102817,0,2
101086,102831,1,0
101086,102834,0,1
101086,102855,0,1
101086,102856,0,1
101086,102863,0,1
101086,102880,1,1
101086,102882,0,1
101086,102886,1,0
101086,102887,0,1
101086,102950,0,1
101086,102957,1,0
101086,102965,1,0
101086,102987,0,2
101086,103015,1,1
101086,103018,0,1
101086,103031,0,1
101086,103060,0,1
101086,103063,0,1
101086,103082,0,1
101086,103133,1,0
101086,103145,0,2
101086,103149,1,0
101086,103188,0,2
101086,103216,1,0
101086,103319,1,0
101086,103350,0,1
101086,103387,2,0
101086,103393,1,0
101086,103420,0,1
101086,103457,1,1
101086,103470,0,1
101086,103484,0,1
101086,103598,0,1
101086,103602,1,0
101086,103632,1,0
101086,103709,0,1
101086,103737,0,1
101086,103789,0,1
101086,103894,1,1
101086,103900,0,1
101086,103908,1,0
101086,103917,0,1
101086,103954,1,0
101086,103999,0,1
101086,104025,1,0
101086,104076,0,1
101086,104156,1,0
101086,104217,0,1
101086,210013,0,1
101121,102957,0,1
101150,101543,1,0
101150,101611,1,0
101150,101647,0,1
101150,101711,2,0
101150,101733,3,1
101150,101736,1,0
101150,101750,0,1
101150,101820,0,1
101150,101868,0,1
101150,101885,0,1
101150,101945,1,0
101150,101962,1,1
101150,101964,0,1
101150,102035,1,0
101150,102061,0,1
101150,102104,1,0
101150,102106,1,0
101150,102148,1,2
101150,102158,0,1
101150,102162,1,0
101150,102179,1,0
101150,102184,0,1
101150,102202,0,1
101150,102205,0,1
101150,102223,0,1
101150,102227,1,1
101150,102257,0,1
101150,102259,0,1
101150,102263,1,0
101150,102286,2,0
101150,102287,0,1
101150,102306,0,1
101150,102318,1,0
101150,102338,0,2
101150,102344,1,0
101150,102358,1,1
101150,102374,0,2
101150,102375,1,0
101150,102381,1,0
101150,102395,1,0
101150,102401,0,1
101150,102443,1,0
101150,102455,1,0
101150,102457,1,0
101150,102524,1,1
101150,102562,3,1
101150,102563,0,1
101150,102571,0,1
101150,102610,0,1
101150,102630,1,1
101150,102642,0,1
101150,102644,0,1
101150,102652,1,0
101150,102667,1,0
101150,102694,0,1
101150,102701,0,1
101150,102720,1,0
101150,102788,0,1
101150,102796,0,2
101150,102809,0,1
101150,102855,0,2
101150,102856,0,2
101150,102863,1,0
101150,102872,1,1
101150,102880,1,1
101150,102897,1,0
101150,102905,2,0
101150,102911,0,1
101150,102921,0,1
101150,102934,0,1
101150,102950,1,0
101150,102957,1,0
101150,102998,0,1
101150,103077,1,0
101150,103096,1,1
101150,103114,0,2
101150,103171,0,1
101150,103182,0,1
101150,103184,0,1
101150,103188,1,0
101150,103193,0,1
101150,103198,1,0
101150,103206,0,2
101150,103248,1,0
101150,103254,0,1
101150,103294,0,1
101150,103319,1,0
101150,103333,2,0
101150,103350,1,1
101150,103356,1,0
101150,103428,1,0
101150,103451,0,1
101150,103454,0,1
101150,103498,1,2
101150,103559,1,0
101150,103565,0,1
101150,103672,0,1
101150,103694,1,0
101150,103720,0,1
101150,103758,1,0
101150,103786,0,1
101150,103789,1,0
101150,103819,0,1
101150,103837,1,0
101150,103863,1,0
101150,103898,0,1
101150,103970,1,0
101150,103971,0,2
101150,104053,1,0
101150,210013,0,1
101167,103264,0,1
101185,101532,0,1
101185,101723,0,1
101185,101792,0,1
101185,102106,1,0
101185,102162,0,1
101185,102644,0,1
101185,102795,1,0
101185,102796,0,1
101185,103031,1,0
101185,103720,0,1
101191,101889,1,0
101191,102025,0,1
101191,102834,1,1
101191,102987,0,1
101235,102957,1,0
101263,102821,0,1
101305,200465,0,1
101316,102496,0,1
101320,101532,2,0
101320,101733,1,0
101320,101806,0,1
